complaint_id,category,priority,reason,flag
GH-202401,Flooding,Urgent,Category Flooding selected from keywords 'flooded'. Priority Urgent because severity word(s) 'ambulance' present.,
GH-202402,Flooding,Standard,Category Flooding selected from keywords 'flooded'. No severity keyword present -> priority is not Urgent.,
GH-202406,Waste,Standard,Category Waste selected from keywords 'debris'. No severity keyword present -> priority is not Urgent.,
GH-202407,Drain Blockage,Standard,Category Drain Blockage selected from keywords 'drain blocked'. No severity keyword present -> priority is not Urgent.,
GH-202410,Pothole,Standard,Category Pothole selected from keywords 'potholes'. No severity keyword present -> priority is not Urgent.,
GH-202411,Pothole,Standard,Category Pothole selected from keywords 'pothole'. No severity keyword present -> priority is not Urgent.,
GH-202412,Pothole,Urgent,Category Pothole selected from keywords 'potholes'. Priority Urgent because severity word(s) 'school' present.,
GH-202417,Waste,Standard,"Category Waste selected from keywords 'garbage', 'waste'. No severity keyword present -> priority is not Urgent.",
GH-202420,Other,Standard,No category keyword matched the description. No severity keyword present -> priority is not Urgent.,NEEDS_REVIEW
GH-202422,Other,Standard,No category keyword matched the description. No severity keyword present -> priority is not Urgent.,NEEDS_REVIEW
GH-202424,Other,Standard,No category keyword matched the description. No severity keyword present -> priority is not Urgent.,NEEDS_REVIEW
GH-202428,Waste,Standard,Category Waste selected from keywords 'waste'. No severity keyword present -> priority is not Urgent.,
GH-202432,Other,Standard,No category keyword matched the description. No severity keyword present -> priority is not Urgent.,NEEDS_REVIEW
GH-202448,Flooding,Standard,Category Flooding selected from ''flooding'' but tied with another category. No severity keyword present -> priority is not Urgent.,NEEDS_REVIEW
GH-202438,Other,Standard,No category keyword matched the description. No severity keyword present -> priority is not Urgent.,NEEDS_REVIEW
