ward,category,period,actual_spend,compared_with,previous_actual_spend,growth_type,growth_pct,formula,status,note
Ward 1 – Kasba,Roads & Pothole Repair,2024-01,13.3,2023-12,,MoM,,(actual[2024-01] - actual[2023-12]) / actual[2023-12] x 100,NO_PRIOR_PERIOD,no data for 2023-12 in the dataset; growth not computed
Ward 1 – Kasba,Roads & Pothole Repair,2024-02,12.2,2024-01,13.3,MoM,-8.3%,(12.2 - 13.3) / 13.3 x 100,OK,
Ward 1 – Kasba,Roads & Pothole Repair,2024-03,12.3,2024-02,12.2,MoM,+0.8%,(12.3 - 12.2) / 12.2 x 100,OK,
Ward 1 – Kasba,Roads & Pothole Repair,2024-04,13.4,2024-03,12.3,MoM,+8.9%,(13.4 - 12.3) / 12.3 x 100,OK,
Ward 1 – Kasba,Roads & Pothole Repair,2024-05,14.1,2024-04,13.4,MoM,+5.2%,(14.1 - 13.4) / 13.4 x 100,OK,
Ward 1 – Kasba,Roads & Pothole Repair,2024-06,14.8,2024-05,14.1,MoM,+5.0%,(14.8 - 14.1) / 14.1 x 100,OK,
Ward 1 – Kasba,Roads & Pothole Repair,2024-07,19.7,2024-06,14.8,MoM,+33.1%,(19.7 - 14.8) / 14.8 x 100,OK,
Ward 1 – Kasba,Roads & Pothole Repair,2024-08,20.2,2024-07,19.7,MoM,+2.5%,(20.2 - 19.7) / 19.7 x 100,OK,
Ward 1 – Kasba,Roads & Pothole Repair,2024-09,20.1,2024-08,20.2,MoM,-0.5%,(20.1 - 20.2) / 20.2 x 100,OK,
Ward 1 – Kasba,Roads & Pothole Repair,2024-10,13.1,2024-09,20.1,MoM,-34.8%,(13.1 - 20.1) / 20.1 x 100,OK,
Ward 1 – Kasba,Roads & Pothole Repair,2024-11,14.2,2024-10,13.1,MoM,+8.4%,(14.2 - 13.1) / 13.1 x 100,OK,
Ward 1 – Kasba,Roads & Pothole Repair,2024-12,12.7,2024-11,14.2,MoM,-10.6%,(12.7 - 14.2) / 14.2 x 100,OK,
Ward 2 – Shivajinagar,Drainage & Flooding,2024-01,10.9,2023-12,,MoM,,(actual[2024-01] - actual[2023-12]) / actual[2023-12] x 100,NO_PRIOR_PERIOD,no data for 2023-12 in the dataset; growth not computed
Ward 2 – Shivajinagar,Drainage & Flooding,2024-02,10.4,2024-01,10.9,MoM,-4.6%,(10.4 - 10.9) / 10.9 x 100,OK,
Ward 2 – Shivajinagar,Drainage & Flooding,2024-03,,2024-02,10.4,MoM,,(actual[2024-03] - actual[2024-02]) / actual[2024-02] x 100,NULL_FLAGGED,actual_spend is null - Data not submitted by ward office; growth not computed
Ward 2 – Shivajinagar,Drainage & Flooding,2024-04,10.0,2024-03,,MoM,,(actual[2024-04] - actual[2024-03]) / actual[2024-03] x 100,PRIOR_NULL_FLAGGED,2024-03 actual_spend is null - Data not submitted by ward office; growth not computed
Ward 2 – Shivajinagar,Drainage & Flooding,2024-05,10.2,2024-04,10.0,MoM,+2.0%,(10.2 - 10.0) / 10.0 x 100,OK,
Ward 2 – Shivajinagar,Drainage & Flooding,2024-06,12.3,2024-05,10.2,MoM,+20.6%,(12.3 - 10.2) / 10.2 x 100,OK,
Ward 2 – Shivajinagar,Drainage & Flooding,2024-07,12.6,2024-06,12.3,MoM,+2.4%,(12.6 - 12.3) / 12.3 x 100,OK,
Ward 2 – Shivajinagar,Drainage & Flooding,2024-08,12.8,2024-07,12.6,MoM,+1.6%,(12.8 - 12.6) / 12.6 x 100,OK,
Ward 2 – Shivajinagar,Drainage & Flooding,2024-09,12.9,2024-08,12.8,MoM,+0.8%,(12.9 - 12.8) / 12.8 x 100,OK,
Ward 2 – Shivajinagar,Drainage & Flooding,2024-10,11.5,2024-09,12.9,MoM,-10.9%,(11.5 - 12.9) / 12.9 x 100,OK,
Ward 2 – Shivajinagar,Drainage & Flooding,2024-11,10.4,2024-10,11.5,MoM,-9.6%,(10.4 - 11.5) / 11.5 x 100,OK,
Ward 2 – Shivajinagar,Drainage & Flooding,2024-12,8.4,2024-11,10.4,MoM,-19.2%,(8.4 - 10.4) / 10.4 x 100,OK,
Ward 4 – Warje,Roads & Pothole Repair,2024-01,10.2,2023-12,,MoM,,(actual[2024-01] - actual[2023-12]) / actual[2023-12] x 100,NO_PRIOR_PERIOD,no data for 2023-12 in the dataset; growth not computed
Ward 4 – Warje,Roads & Pothole Repair,2024-02,10.7,2024-01,10.2,MoM,+4.9%,(10.7 - 10.2) / 10.2 x 100,OK,
Ward 4 – Warje,Roads & Pothole Repair,2024-03,11.1,2024-02,10.7,MoM,+3.7%,(11.1 - 10.7) / 10.7 x 100,OK,
Ward 4 – Warje,Roads & Pothole Repair,2024-04,8.8,2024-03,11.1,MoM,-20.7%,(8.8 - 11.1) / 11.1 x 100,OK,
